f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr;;;
1;2018;1;411;1;1;256;254;255;;2;2;2;5;6;4;;;;;;;start;;;
1;2018;5;411;1;1;127;131;129;;3;1;1;5;6;4;;;;;;;1;;;
1;2018;19;411;1;1;153;154;154;;3;3;3;5;6;4;;;;G63;;;5;;;
1;2018;24;411;1;1;154;148;151;;2;1;1;5;6;4;;;;;;;675;;;
1;2018;25;411;1;1;197;213;205;;2;1;2;5;6;4;;;;F4;;;24;;;
1;2018;26;411;1;1;121;106;114;;2;1;2;5;6;4;;;;F4;;;25;;;
1;2018;40;;4;4;;;0;;;;;;;;;;;;;;;;;
1;2018;42;411;1;1;126;128;127;;3;2;2;5;6;4;;;;G62;;;105;;;
1;2018;44;411;1;1;179;185;182;;2;1;1;5;6;4;;;;;;;42;;;
1;2018;51;411;1;1;227;218;223;;2;1;1;5;6;4;;;;;;;44;;;
1;2018;56;411;1;1;205;203;204;;2;1;1;5;6;4;;;;;;;51;;;
1;2018;59;411;1;1;204;187;196;;2;1;1;5;6;4;;;;;;;67;;;
1;2018;63;411;1;1;274;260;267;;1;1;2;5;6;4;;;;;;;677;;;
1;2018;67;411;1;1;173;162;168;;2;1;1;5;6;4;;;;;;;70;;;
1;2018;69;411;1;1;199;195;197;;2;1;1;5;6;4;;;;;;;63;;;
1;2018;70;411;1;1;200;179;190;;2;1;1;5;6;4;;;;;;;72;;;
1;2018;72;101;9;6;164;162;163;;;;;;;;;;;;;;76;;;
1;2018;73;101;9;5;260;263;262;;;;;;;;;;;A1;;;664;;;
1;2018;76;411;1;1;62;71;67;;3;3;3;5;6;4;;;;G63;;;73;;;
1;2018;78;121;1;1;588;611;600;P;1;1;1;4;4;6;32.1;17.8;48;;;;664;;;
1;2018;83;121;1;1;374;372;373;;1;1;2;4;4;6;;;;;;;78;;;
1;2018;91;411;1;1;267;270;269;;2;1;1;5;6;4;;;;;;;186;;;
1;2018;97;411;1;1;196;197;197;;2;1;1;5;6;4;;;;;;;67;;;
1;2018;99;411;1;1;162;173;168;;2;1;2;5;6;4;;;;F2;;;97;;;
1;2018;105;411;1;1;207;235;221;;2;1;2;5;6;4;;;;;;;108;;;
1;2018;108;411;1;1;183;181;182;;2;1;2;5;6;4;;;;;;;117;;;
1;2018;116;411;1;1;140;129;135;;3;2;1;5;6;4;;;;;;;99;;;
1;2018;117;411;1;1;143;144;144;;3;2;2;5;6;4;;;;G61;;;128;;;
1;2018;122;411;1;1;219;212;216;;2;1;1;5;6;4;;;;;;;26;;;
1;2018;128;411;1;1;225;216;221;;2;2;2;5;6;4;;;;G22;;;19;;;
1;2018;140;411;1;1;324;352;338;P;2;1;1;5;6;4;23.9;1.7;28;;;;153;;;
1;2018;144;411;1;1;163;159;161;;3;1;1;5;6;4;;;;;;;686;;;
1;2018;146;121;9;8;483;478;481;;;;;;;;3.4;;;P3;;;144;;;
1;2018;147;411;1;1;244;255;250;;3;1;1;5;6;4;;;;;;;146;;;
1;2018;152;411;1;1;159;150;155;P;3;1;2;5;6;4;8.7;2.4;2;;;;685;;;
1;2018;153;411;1;1;270;263;267;P;2;1;1;5;6;4;22.5;12.4;20;;;;152;;;
1;2018;158;411;1;1;340;351;346;;2;1;2;5;6;4;;;;G62;;;247;;;
1;2018;180;411;1;1;326;287;307;P;2;1;1;5;6;4;23.6;9.2;26;;;;182;;;
1;2018;182;411;1;1;195;198;197;P;2;1;1;5;6;4;12.7;2.6;7;;;;208;;;
1;2018;195;121;1;1;157;149;153;;2;1;2;5;6;4;;;;;;;203;;;
1;2018;196;411;1;1;189;196;193;;2;1;2;5;6;4;;;;G63;;;195;;;
1;2018;201;411;1;1;136;129;133;;3;2;2;5;6;4;;;;G63;;;203;;;
1;2018;202;121;1;1;452;507;480;P;1;1;1;4;4;6;34.6;24.9;42;;;;83;;;
1;2018;203;121;9;7;247;239;243;;;;;;;;;;;;;;202;;;
1;2018;206;121;1;1;208;215;212;;2;3;3;5;6;4;;;;G21;;;196;;;
1;2018;208;411;1;1;161;159;160;;3;2;3;5;6;4;;;;G63;;;206;;;
1;2018;215;411;1;1;196;174;185;;3;1;2;5;6;4;;;;F7;;;180;;;
1;2018;233;101;1;1;664;683;674;P;1;1;1;4;4;6;37.4;19.8;52;H1;;;296;;;
1;2018;245;411;1;1;179;195;187;;3;2;2;5;6;4;;;;G62;;;287;;;
1;2018;247;411;1;1;288;303;296;;3;1;2;5;6;4;;;;G22;;;245;;;
1;2018;252;121;1;1;242;256;249;;2;1;1;5;5;5;;;;;;;158;;;
1;2018;253;411;1;1;285;297;291;;2;2;2;5;6;4;;;;H0;;;252;;;
1;2018;267;101;3;5;310;333;322;;;;;;;;;;;A1;;;278;;;
1;2018;269;411;1;1;284;291;288;P;2;1;5;5;6;4;19;4.5;15;;;;270;;;
1;2018;270;411;1;1;218;222;220;;3;1;1;5;6;4;;;;F7;;;267;;;
1;2018;271;121;1;1;621;652;637;P;1;1;1;4;4;6;39.8;20;55;;;;269;;;
1;2018;274;411;1;1;185;196;191;;3;1;1;5;6;4;;;;G52;;;147;;;
1;2018;277;411;1;1;261;249;255;;2;1;2;5;6;4;;;;;;;689;;;
1;2018;278;101;3;5;600;625;613;;;;;;;;;;;;;;688;;;
1;2018;280;121;9;8;469;452;461;;;;;;;;7.6;;;;;;277;;;
