f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr;
12;2018;1;101;1;1;274;302;288;;1;2;3;5;5;6;;;;;;;Start;
12;2018;3;101;1;1;347;345;346;;1;2;2;5;4;6;;;;;;;1;
12;2018;4;121;1;1;576;564;570;;1;1;1;4;4;6;;;;;;;3;
12;2018;5;121;1;1;293;281;287;;1;1;2;4;5;5;;;;;;;8;
12;2018;6;121;1;1;374;357;366;;1;1;1;4;5;5;;;;;;;5;
12;2018;7;121;1;1;494;493;494;;1;1;1;4;4;6;;;;;;;6;
12;2018;8;121;1;1;479;465;472;;1;1;1;4;4;6;;;;;;;875;
12;2018;9;101;1;1;617;619;618;;1;1;1;4;4;6;;;;;;;22;
12;2018;10;121;1;1;504;527;516;;1;1;1;4;4;6;;;;;;;9;
12;2018;11;121;1;1;505;484;495;;1;1;1;4;4;6;;;;;;;12;
12;2018;12;101;9;7;152;145;149;;;;;;;;;;;;;;7;
12;2018;13;121;1;1;314;333;324;;1;1;2;4;4;6;;;;;;;10;
12;2018;14;101;1;1;371;378;375;;1;1;1;4;4;6;;;;F52;;;13;
12;2018;15;121;9;8;448;431;440;;;;;;;;6.7;;;;;;11;
12;2018;16;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;17;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;18;101;1;1;166;168;167;;2;1;2;5;6;6;;;;;;;15;
12;2018;19;121;9;9;;;;;;;;;;;;;;;;;;
12;2018;20;121;9;8;300;286;293;;;;;;;;21.4;;;;;;18;
12;2018;21;101;9;8;274;272;273;;;;;;;;17.2;;;;;;20;
12;2018;22;101;9;7;88;93;91;;;;;;;;;;;;;;21;
12;2018;23;411;1;1;117;124;121;;3;1;2;5;6;4;;;;;;;24;
12;2018;24;121;1;1;554;527;541;;1;1;1;4;4;6;;;;;;;25;
12;2018;25;121;1;1;335;317;326;;1;1;2;4;5;5;;;;;;;22;
12;2018;26;411;1;1;150;158;154;;3;1;1;5;6;4;;;;F4;;;23;
12;2018;27;121;1;1;440;421;431;;1;1;1;4;4;5;;;;;;;29;
12;2018;28;121;1;1;521;527;524;;1;1;1;4;4;6;;;;;;;27;
12;2018;29;101;9;7;384;383;384;;;;;;;;;;;P2;;;26;
12;2018;30;121;1;1;508;496;502;;1;1;1;4;4;6;;;;;;;28;
12;2018;31;121;1;1;484;498;491;;1;1;1;4;4;6;;;;;;;30;
12;2018;32;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;33;121;9;8;271;266;269;;;;;;;;19.7;;;;;;858;
