f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
2;2018;1;;9;9;;;0;;;;;;;;;;;; ;;
2;2018;2;;9;9;;;0;;;;;;;;;;;;;;
2;2018;3;;9;9;;;0;;;;;;;;;;;;;;
2;2018;4;;9;9;;;0;;;;;;;;;;;;;;
2;2018;5;411;1;1;220;218;219;;2;1;2;5;6;4;;;;;;;133
2;2018;6;;9;9;;;0;;;;;;;;;;;;;;
2;2018;7;;4;4;;;0;;;;;;;;;;;;;;
2;2018;8;;9;9;;;0;;;;;;;;;;;;;;
2;2018;9;;9;9;;;0;;;;;;;;;;;;;;
2;2018;10;;9;9;;;0;;;;;;;;;;;;;;
2;2018;11;;9;9;;;0;;;;;;;;;;;;;;
2;2018;12;;9;9;;;0;;;;;;;;;;;;;;
2;2018;13;;9;9;;;0;;;;;;;;;;;;;;
2;2018;14;;3;6;440;453;447;;;;;;;;;;;P3;;;484
2;2018;15;;9;9;;;0;;;;;;;;;;;;;;
2;2018;16;;9;9;;;0;;;;;;;;;;;;;;
2;2018;17;;9;9;;;0;;;;;;;;;;;;;;
2;2018;18;;9;9;;;0;;;;;;;;;;;;;;
2;2018;19;;9;9;;;0;;;;;;;;;;;;;;
2;2018;20;;9;9;;;0;;;;;;;;;;;;;;
2;2018;21;;9;9;;;0;;;;;;;;;;;;;;
2;2018;22;411;1;1;234;237;236;P;2;1;1;5;6;4;16.8;4.7;15;;;;14
2;2018;23;;9;9;;;0;;;;;;;;;;;;;;
2;2018;24;;9;9;;;0;;;;;;;;;;;;;;
2;2018;25;;9;9;;;0;;;;;;;;;;;;;;
2;2018;26;;9;9;;;0;;;;;;;;;;;;;;
2;2018;27;;9;8;378;375;377;;;;;;;;4.2;;;;;;28
2;2018;28;;1;1;187;198;193;P;3;1;1;5;6;4;13.2;6.4;10;;;;22
2;2018;29;;9;9;;;0;;;;;;;;;;;;;;
2;2018;30;;1;1;200;204;202;;2;1;2;5;6;4;;;;;;;27
2;2018;31;411;1;1;195;188;192;;2;1;2;5;6;4;;;;;;;685
2;2018;32;;9;9;;;0;;;;;;;;;;;;;;
2;2018;33;;9;9;;;0;;;;;;;;;;;;;;
2;2018;34;411;1;1;211;221;216;;3;1;1;5;6;4;;;;;;;37
2;2018;36;;3;5;;;0;;;;;;;;;;;;;;
2;2018;37;101;3;5;505;529;517;;;;;;;;;;;;;;
2;2018;39;;9;9;;;0;;;;;;;;;;;;;;
2;2018;40;411;1;1;205;206;206;;2;1;1;5;6;4;17.2;4.8;15;;;;43
2;2018;41;;4;4;;;0;;;;;;;;;;;;;;
2;2018;42;;9;9;;;0;;;;;;;;;;;;;;
2;2018;43;411;1;1;158;175;167;;2;1;2;5;6;4;;;;G52;F2;;31
2;2018;44;;9;9;;;0;;;;;;;;;;;;;;
2;2018;45;;4;4;;;0;;;;;;;;;;;;;;
2;2018;46;411;1;1;195;196;196;;2;1;2;5;6;4;;;;G21;F7;;43
2;2018;47;;9;9;;;0;;;;;;;;;;;;;;
2;2018;48;;9;9;;;0;;;;;;;;;;;;;;
2;2018;49;;4;4;;;0;;;;;;;;;;;;;;
2;2018;50;;9;9;;;0;;;;;;;;;;;;;;
2;2018;51;411;1;1;130;132;131;;3;3;3;5;6;4;;;;G21;G62;;46
2;2018;52;;9;9;;;0;;;;;;;;;;;;;;
2;2018;53;;9;9;;;0;;;;;;;;;;;;;;
2;2018;54;;9;9;;;0;;;;;;;;;;;;;;
2;2018;55;;9;9;;;0;;;;;;;;;;;;;;
2;2018;56;;9;9;;;0;;;;;;;;;;;;;;
2;2018;58;;9;9;;;0;;;;;;;;;;;;;;
2;2018;59;;9;9;;;0;;;;;;;;;;;;;;
2;2018;60;;9;9;;;0;;;;;;;;;;;;;;
2;2018;61;411;1;1;187;190;189;;2;1;1;5;6;4;;;;;;;89
2;2018;62;;9;9;;;0;;;;;;;;;;;;;;
2;2018;63;;9;9;;;0;;;;;;;;;;;;;;
2;2018;64;;9;9;;;0;;;;;;;;;;;;;;
2;2018;65;101;1;1;395;400;398;;1;1;1;4;4;6;;;;;;;61
2;2018;66;;9;9;;;0;;;;;;;;;;;;;;
2;2018;67;101;3;6;294;291;293;;;;;;;;;;;A1;;;65
2;2018;68;101;3;5;342;301;322;;;;;;;;;;;A1;;;67
2;2018;69;411;1;1;138;146;142;;3;1;1;5;6;4;;;;;;;68
2;2018;70;;9;9;;;0;;;;;;;;;;;;;;
2;2018;71;;9;9;;;0;;;;;;;;;;;;;;
2;2018;72;;9;9;;;0;;;;;;;;;;;;;;
2;2018;73;101;3;6;354;351;353;;;;;;;;;;;A1;;;69
2;2018;74;;9;9;;;0;;;;;;;;;;;;;;
2;2018;75;101;1;1;271;278;275;;1;1;2;4;4;6;;;;;;;73
2;2018;76;101;1;1;559;552;556;;1;1;1;4;4;6;;;;;;;75
2;2018;77;411;1;1;95;94;95;;3;3;3;5;6;4;;;;G51;;;76
2;2018;78;;9;9;;;0;;;;;;;;;;;;;;
2;2018;79;;9;9;;;0;;;;;;;;;;;;;;
2;2018;80;;9;9;;;0;;;;;;;;;;;;;;
2;2018;81;;9;9;;;0;;;;;;;;;;;;;;
2;2018;82;;9;9;;;0;;;;;;;;;;;;;;
2;2018;83;411;3;8;130;125;128;;;;;;;;5.2;;;;;;206
2;2018;84;411;1;1;121;126;124;;3;3;3;5;6;4;;;;G62;;;83
2;2018;85;101;3;6;344;338;341;;;;;;;;;;;A1;;;84
2;2018;86;101;1;1;439;472;456;;1;1;1;4;4;6;;;;;;;85
2;2018;87;101;9;5;215;221;218;;;;;;;;;;;;;;91
2;2018;88;101;1;1;566;571;569;;1;1;1;4;4;6;;;;;;;87
2;2018;89;411;1;1;114;115;115;;3;3;3;5;6;4;;;;G21;F2;;88
2;2018;90;;4;4;;;0;;;;;;;;;;;;;;
2;2018;91;101;1;1;424;430;427;;1;1;1;4;4;6;;;;;;;86
2;2018;92;;4;4;;;0;;;;;;;;;;;;;;
