fnum;f_id;aj;bnr;ba;koorx;koory;ahc;dec;d1;d2;dh2;htot;kag;ic1;ic2;ic3;ic4;ic5;ic6;bem;cond;fid_bid;fid_bid_aj;ahc_dec
CHOR01;1;2006;1;411;97.2;1.8;1;1;129;130;NA;NA;NA;2;2;2;5;6;4;;NA;1_1;1_1_2006;11
CHOR01;1;2012;1;411;97.2;1.8;1;1;178;173;NA;NA;NA;2;2;2;5;6;4;G21;1_1;1_1;1_1_2012;11
CHOR01;1;2006;2;101;98.5;4.2;1;1;457;460;NA;NA;NA;1;1;1;4;4;6;;1_1;1_2;1_2_2006;11
CHOR01;1;2012;2;101;98.5;4.2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_2;1_2;1_2_2012;44
CHOR01;1;2006;3;101;97.8;7.5;2;2;302;310;NA;NA;NA;1;1;2;4;4;6;;1_2;1_3;1_3_2006;22
CHOR01;1;2006;4;121;95.9;2.5;2;2;618;640;NA;NA;NA;1;2;1;5;4;6;P4;1_3;1_4;1_4_2006;22
CHOR01;1;2006;5;411;93.8;1.8;1;1;63;62;NA;NA;NA;3;2;3;5;6;4;F2;1_4;1_5;1_5_2006;11
CHOR01;1;2012;5;411;93.8;1.8;1;1;87;85;NA;NA;NA;3;1;2;5;6;4;G51;1_5;1_5;1_5_2012;11
CHOR01;1;2006;6;411;90.9;3.1;1;1;50;50;NA;NA;NA;3;2;3;5;6;4;F2;1_5;1_6;1_6_2006;11
CHOR01;1;2012;6;411;90.9;3.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_6;1_6;1_6_2012;44
CHOR01;1;2006;7;101;90.5;9.8;2;2;390;431;NA;NA;NA;1;1;1;4;4;6;;1_6;1_7;1_7_2006;22
CHOR01;1;2006;8;101;90;1.1;2;2;489;522;NA;NA;NA;1;1;1;4;4;6;;1_7;1_8;1_8_2006;22
CHOR01;1;2006;9;101;88.6;2.2;2;2;381;389;NA;NA;NA;1;1;1;4;4;6;;1_8;1_9;1_9_2006;22
CHOR01;1;2006;10;101;87.2;7.6;2;2;425;373;NA;NA;NA;1;3;2;6;5;6;P2;1_9;1_10;1_10_2006;22
CHOR01;1;2006;11;101;86.5;8.5;2;2;552;530;NA;NA;NA;1;1;1;4;4;6;;1_10;1_11;1_11_2006;22
CHOR01;1;2006;12;121;85.6;3;1;1;90;91;NA;NA;NA;3;2;2;5;6;4;F2;1_11;1_12;1_12_2006;11
CHOR01;1;2012;12;121;85.6;3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_12;1_12;1_12_2012;44
CHOR01;1;2006;13;411;81.9;7.3;2;2;129;127;NA;NA;NA;3;3;3;5;6;4;F2, P2, F7;1_12;1_13;1_13_2006;22
CHOR01;1;2006;14;411;70;7.3;1;1;105;112;NA;NA;NA;3;2;3;5;6;4;F2;1_13;1_14;1_14_2006;11
CHOR01;1;2012;14;411;70;7.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_14;1_14;1_14_2012;44
CHOR01;1;2006;15;101;80;4.2;2;2;511;540;NA;NA;NA;1;3;2;6;5;6;F3, P2, F7;1_14;1_15;1_15_2006;22
CHOR01;1;2006;16;101;76.1;6.2;2;2;360;385;NA;NA;NA;1;3;2;6;5;4;P2, P3;1_15;1_16;1_16_2006;22
CHOR01;1;2006;17;101;74.8;0.4;1;1;493;482;NA;NA;NA;1;1;1;4;4;6;;1_16;1_17;1_17_2006;11
CHOR01;1;2012;17;101;74.8;0.4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_17;1_17;1_17_2012;44
CHOR01;1;2006;18;411;72;0.6;1;1;131;129;NA;NA;NA;3;2;2;5;6;4;F2;1_17;1_18;1_18_2006;11
CHOR01;1;2012;18;411;72;0.6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_18;1_18;1_18_2012;44
CHOR01;1;2006;19;411;71.8;3.1;1;1;102;99;NA;NA;NA;3;2;2;5;6;4;F2;1_18;1_19;1_19_2006;11
CHOR01;1;2012;19;411;71.8;3.1;1;1;115;118;NA;NA;NA;3;3;3;6;6;4;G22;1_19;1_19;1_19_2012;11
CHOR01;1;2006;20;121;74.1;8.5;2;2;174;178;NA;NA;NA;2;3;2;5;6;5;P4, P2;1_19;1_20;1_20_2006;22
CHOR01;1;2006;21;101;70;4.2;1;1;458;476;NA;NA;NA;1;1;1;4;4;6;;1_20;1_21;1_21_2006;11
CHOR01;1;2012;21;101;70;4.2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_21;1_21;1_21_2012;44
CHOR01;1;2006;22;101;62.5;2.1;1;1;400;401;NA;NA;NA;1;1;1;4;4;6;;1_21;1_22;1_22_2006;11
CHOR01;1;2012;22;101;62.5;2.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_22;1_22;1_22_2012;44
CHOR01;1;2006;23;101;64.2;0.9;1;1;544;511;NA;NA;NA;1;1;1;4;4;6;;1_22;1_23;1_23_2006;11
CHOR01;1;2012;23;101;64.2;0.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_23;1_23;1_23_2012;44
CHOR01;1;2006;24;411;64;6.1;1;1;97;97;4;11.9;5.1;3;3;3;5;6;4;F2, P2;1_23;1_24;1_24_2006;11
CHOR01;1;2012;24;411;64;6.1;1;1;108;112;NA;NA;NA;3;1;1;5;6;4;;1_24;1_24;1_24_2012;11
CHOR01;1;2006;25;411;60.6;6.1;1;1;89;97;NA;NA;NA;3;2;2;5;6;4;;1_24;1_25;1_25_2006;11
CHOR01;1;2012;25;411;60.6;6.1;1;1;124;136;NA;NA;NA;3;1;1;5;6;4;;1_25;1_25;1_25_2012;11
CHOR01;1;2006;26;411;60.4;6.1;1;1;69;58;NA;NA;NA;3;2;2;5;6;4;;1_25;1_26;1_26_2006;11
CHOR01;1;2012;26;411;60.4;6.1;1;1;84;74;NA;NA;NA;3;1;1;5;6;4;;1_26;1_26;1_26_2012;11
CHOR01;1;2006;27;101;60.5;6.6;3;6;350;320;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_26;1_27;1_27_2006;36
CHOR01;1;2012;27;101;60.5;6.6;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_27;1_27;1_27_2012;99
CHOR01;1;2006;28;101;57.2;1.1;1;1;498;480;NA;NA;NA;1;3;1;6;4;6;P2, P3;1_27;1_28;1_28_2006;11
CHOR01;1;2012;28;101;57.2;1.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_28;1_28;1_28_2012;44
CHOR01;1;2006;29;101;58.9;4;1;1;369;371;NA;NA;NA;1;1;1;4;4;6;;1_28;1_29;1_29_2006;11
CHOR01;1;2012;29;101;58.9;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_29;1_29;1_29_2012;44
